lon,lat,p_iid,p_bym,p_bym_cov
106.3402,50.2051,0.6296407185628743,0.35538922155688624,0.37964071856287424
103.8141,50.3489,0.7305389221556886,0.7272455089820359,0.7416167664670659
101.273,50.4211,0.12904191616766467,0.12874251497005987,0.13532934131736526
98.727,50.4211,0.7760479041916167,0.8260479041916168,0.7952095808383234
96.1859,50.3489,0.761377245508982,0.8044910179640719,0.7850299401197605
93.6598,50.2051,0.7086826347305389,0.7146706586826347,0.7092814371257485
88.6901,49.707,0.879940119760479,0.832934131736527,0.8161676646706587
86.2637,49.3561,0.8508982035928143,0.8646706586826347,0.8544910179640719
83.8866,48.9404,0.7880239520958083,0.6982035928143713,0.7104790419161676
81.5651,48.4625,0.8446107784431137,0.6230538922155688,0.65
79.3045,47.9253,0.8473053892215568,0.6164670658682635,0.5658682634730539
77.1094,47.3319,0.7176646706586827,0.4026946107784431,0.39580838323353296
74.9831,46.6857,0.42095808383233535,0.19850299401197605,0.1784431137724551
72.9279,45.9899,0.8041916167664671,0.562874251497006,0.5482035928143713
70.9454,45.2482,0.8116766467065868,0.6634730538922156,0.6434131736526946
69.0362,44.4638,0.34880239520958084,0.3092814371257485,0.2715568862275449
67.2005,43.6402,0.2997005988023952,0.25269461077844313,0.24251497005988024
65.4375,42.7807,0.634431137724551,0.6640718562874252,0.6485029940119761
63.7462,41.8886,0.6631736526946108,0.7125748502994012,0.6991017964071856
62.125,40.9669,0.4568862275449102,0.5188622754491018,0.5275449101796407
60.5722,40.0187,0.14850299401197606,0.11317365269461079,0.10508982035928144
59.0856,39.0469,0.2772455089820359,0.20329341317365268,0.19520958083832335
56.302,37.0429,0.03502994011976048,0.04940119760479042,0.0407185628742515
53.7546,34.9748,1.0,1.0,1.0
52.5634,33.9223,0.7505988023952096,0.6368263473053892,0.6395209580838324
50.3331,31.7904,0.5745508982035928,0.5940119760479042,0.5491017964071856
135.789,44.0493,0.3275449101796407,0.5233532934131736,0.4781437125748503
133.9965,44.9442,0.7287425149700599,0.45209580838323354,0.494311377245509
132.125,45.8028,0.7287425149700599,0.4095808383233533,0.4494011976047904
130.1735,46.6218,0.8350299401197605,0.6389221556886228,0.645808383233533
