"","lat","long","elev"
"597",43.1217,47.5041,-29
"598",41.8886,46.2538,806.9
"599",40.6478,45.0738,2066.1
"600",39.4016,43.9591,2402.8
"601",36.9009,41.9081,393.1
"602",52.517,143.0908,38.4
"603",55.7149,136.573,694.1
"604",56.687,134.1145,540.6
"605",57.6019,131.5043,1242.8
"606",58.453,128.7398,504.6
"607",59.2333,125.821,428.8
"608",59.936,122.751,583.2
"609",60.5542,119.5367,382.5
"610",61.0812,116.1892,414
"611",61.511,112.7244,301
"612",61.8384,109.1623,335.2
"613",62.0591,105.5275,324.8
"614",62.1703,101.8476,555.7
"615",62.1703,98.1524,428.5
"616",62.0591,94.4725,440.6
"617",61.8384,90.8377,238.4
"618",61.511,87.2756,170
"619",61.0812,83.8108,119
"620",60.5542,80.4633,79.3
"621",59.936,77.249,73.8
"622",59.2333,74.179,74.1
"623",58.453,71.2602,92
"624",57.6019,68.4957,61.1
"625",56.687,65.8855,84.8
"626",55.7149,63.427,144.5
"627",54.6919,61.1155,248.1
"628",53.6241,58.9452,439.5
"629",52.517,56.9092,411.4
"630",51.3757,55,223
"631",50.2051,53.2101,80.7
"632",49.0093,51.5318,0.5
"633",47.7924,49.9575,-11.6
"634",46.558,48.4802,-25.2
"635",45.3093,47.0928,-25
"636",44.0493,45.789,45.5
"637",42.7807,44.5625,3332.6
"638",41.5059,43.4078,1666.7
"639",40.2271,42.3196,2184
"640",38.9462,41.293,1658.2
"641",37.6652,40.3236,777.3
"642",57.0492,138.4181,164.6
"643",58.0713,135.9097,656.3
"644",59.0361,133.2317,636.1
"645",59.936,130.3791,300.6
"646",60.7636,127.3499,422.5
"647",61.511,124.1455,312.1
"648",62.1703,120.7723,270.3
"649",62.7337,117.2415,176.3
"650",63.1944,113.5704,256.9
"651",63.5459,109.7824,306.1
"652",63.7832,105.9061,250.5
"653",63.9027,101.9749,482.1
"654",63.9027,98.0251,254
"655",63.7832,94.0939,502.6
"656",63.5459,90.2176,275.8
"657",63.1944,86.4296,40.1
"658",62.7337,82.7585,187.1
"659",62.1703,79.2277,99
"660",61.511,75.8545,90.1
"661",60.7636,72.6501,40.5
"662",59.936,69.6209,39
"663",59.0361,66.7683,51
"664",58.0713,64.0903,97.3
"665",57.0492,61.5819,232
"666",55.9766,59.2364,303.7
"667",54.8599,57.0454,126.3
"668",53.7049,55,281
"669",52.517,53.0908,95.9
"670",51.3012,51.3086,39
"671",50.0619,49.6442,9.7
"672",48.8031,48.0888,1.9
"673",47.5284,46.6341,-1.8
"674",46.2411,45.2724,-10
"675",44.9442,43.9965,141
"676",43.6402,42.7995,2105.3
"677",39.7087,39.6237,1146.9
"678",38.3982,38.6861,686.4
"679",37.0903,37.8015,679.2
"680",58.3571,140.4261,405
"681",59.4322,137.875,983.3
"682",60.4501,135.1342,149.1
"683",61.4029,132.1957,338.9
"684",62.2819,129.0546,195.8
"685",63.0784,125.71,224.1
"686",63.7832,122.1663,109.7
"687",64.3874,118.4349,193.5
"688",64.8827,114.5345,292.6
"689",65.2615,110.4915,585.8
"690",65.5176,106.3402,441.9
"691",65.6469,102.1211,483.4
"692",65.6469,97.8789,778.3
"693",65.5176,93.6598,644.5
"694",65.2615,89.5085,508.2
"695",64.8827,85.4655,130
"696",64.3874,81.5651,21
"697",63.7832,77.8337,51
"698",63.0784,74.29,118.1
"699",62.2819,70.9454,80
"700",61.4029,67.8043,22
"701",60.4501,64.8658,55
"702",59.4322,62.125,66
"703",58.3571,59.5739,276.5
"704",57.2322,57.2026,246.6
"705",56.0644,55,155.2
"706",54.8599,52.9546,307.5
"707",53.6241,51.0548,229
"708",52.3622,49.2894,118.9
"709",51.0787,47.6476,81.3
"710",49.7776,46.1193,28.2
"711",48.4625,44.6952,12
"712",47.1366,43.3664,112.3
"713",45.8028,42.125,178.8
"714",44.4638,40.9638,533.7
"715",39.0973,36.9958,1725.8
"716",37.762,36.1468,1359.4
"717",59.6325,142.6141,85
"718",60.7636,140.0303,1658
"719",61.8384,137.2348,888
"720",62.8481,134.2157,100
"721",63.7832,130.9638,212.3
"722",64.6337,127.4744,682.2
"723",65.3892,123.7495,138.6
"724",66.0392,119.7989,193
"725",66.5738,115.6422,361.9
"726",66.9837,111.3099,447.9
"727",67.2616,106.8428,269.6
"728",67.4019,102.2906,268.1
